Numéro de l'amendement,Partie de l'amendement,Sort de l'amendement,Désignation de l'article,Délibération,Auteur,Cosignataire(s),Instance,Etape du texte,URL Amendement,URL Amendement format XML
CE1034,,Adopté,Avant l'article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Voynet, Mme Pochon, Mme Belluco, M. Nicolas Bonnet, M. Thierry, Mme Ozenne, M. Biteau, M. Raux, M. Amirshahi, Mme Arrighi, Mme Autain, Mme Balage El Mariky, M. Ben Cheikh, M. Arnaud Bonnet, Mme Chatelain, M. Corbière, M. Davi, M. Duplessy, M. Fournier, Mme Garin, M. Damien Girard, M. Gustave, Mme Catherine Hervieu, M. Iordanoff, Mme Laernoes, M. Lahais, M. Lucas-Lundy, M. Peytavie, Mme Regol, M. Roumégas, Mme Sandrine Rousseau, M. Ruffin, Mme Sas, Mme Sebaihi, Mme Simonnet, Mme Taillé-Polian et M. Tavernier",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1034,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001034.xml
CE1035,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Pochon, Mme Voynet, M. Biteau, Mme Belluco, M. Nicolas Bonnet, Mme Ozenne, M. Raux, M. Thierry, M. Amirshahi, Mme Arrighi, Mme Autain, Mme Balage El Mariky, M. Ben Cheikh, M. Arnaud Bonnet, Mme Chatelain, M. Corbière, M. Davi, M. Duplessy, M. Fournier, Mme Garin, M. Damien Girard, M. Gustave, Mme Catherine Hervieu, M. Iordanoff, Mme Laernoes, M. Lahais, M. Lucas-Lundy, M. Peytavie, Mme Regol, M. Roumégas, Mme Sandrine Rousseau, M. Ruffin, Mme Sas, Mme Sebaihi, Mme Simonnet, Mme Taillé-Polian et M. Tavernier",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1035,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001035.xml
CE1036,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Pantel, Mme Rossi, Mme Allemand, Mme Thomin, M. Potier, M. Delautrette, M. Dufau, M. Eskenazi, M. Fégné, Mme Jourdan, M. Leseul, M. Barusseau et M. Roussel",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1036,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001036.xml
CE1037,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1037,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001037.xml
CE1038,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1038,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001038.xml
CE1039,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Bonnivard, M. Ray et M. Rolland",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1039,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001039.xml
CE1040,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1040,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001040.xml
CE1041,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1041,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001041.xml
CE1042,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1042,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001042.xml
CE1043,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Pantel, M. Rousset, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry et M. Vuibert",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1043,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001043.xml
